Year,State,AQI
2000,Alabama,56.97578125
2001,Alabama,48.59338151
2002,Alabama,47.51074987
2003,Alabama,47.14804377
2004,Alabama,46.7974516
2005,Alabama,48.14710204
2006,Alabama,50.58759664
2007,Alabama,53.22599932
2008,Alabama,46.88391801
2009,Alabama,41.28908213
2010,Alabama,48.80831624
2011,Alabama,45.80982634
2012,Alabama,43.26735104
2013,Alabama,37.8973392
2014,Alabama,39.93664676
2015,Alabama,40.80467995
2016,Alabama,41.17531949
2017,Alabama,39.23667741
2018,Alabama,38.32101886
2019,Alabama,39.47375691
2000,Alaska,30.65599343
2001,Alaska,31.99008264
2002,Alaska,28.34171598
2003,Alaska,25.82076176
2004,Alaska,27.43615495
2005,Alaska,26.20983125
2006,Alaska,29.41360544
2007,Alaska,27.9661476
2008,Alaska,26.8221957
2009,Alaska,31.59686147
2010,Alaska,29.80925131
2011,Alaska,30.86202186
2012,Alaska,30.95145228
2013,Alaska,30.40193492
2014,Alaska,34.9124487
2015,Alaska,35.47383863
2016,Alaska,33.67250876
2017,Alaska,31.59318637
2018,Alaska,29.63515313
2019,Alaska,29.30899556
2000,Arizona,55.95226395
2001,Arizona,54.61114911
2002,Arizona,58.22389593
2003,Arizona,56.0080825
2004,Arizona,53.02058414
2005,Arizona,54.07037226
2006,Arizona,64.92640906
2007,Arizona,61.64502695
2008,Arizona,59.47527473
2009,Arizona,52.31267806
2010,Arizona,51.88924758
2011,Arizona,56.61756238
2012,Arizona,55.28777143
2013,Arizona,51.13182423
2014,Arizona,52.14919268
2015,Arizona,47.59421842
2016,Arizona,48.77939932
2017,Arizona,50.94492877
2018,Arizona,49.95837735
2019,Arizona,46.61201608
2000,Arkansas,49.00754603
2001,Arkansas,45.34009318
2002,Arkansas,43.60488959
2003,Arkansas,42.67747164
2004,Arkansas,40.52150697
2005,Arkansas,48.64180064
2006,Arkansas,44.76356472
2007,Arkansas,43.8780692
2008,Arkansas,40.0473522
2009,Arkansas,37.80201624
2010,Arkansas,42.45521797
2011,Arkansas,41.94385679
2012,Arkansas,42.1443986
2013,Arkansas,38.23350254
2014,Arkansas,36.12283044
2015,Arkansas,35.20893517
2016,Arkansas,35.39179351
2017,Arkansas,39.50727995
2018,Arkansas,38.81057692
2019,Arkansas,38.5255829
2000,California,61.82846833
2001,California,63.76751899
2002,California,65.66473738
2003,California,64.048916
2004,California,60.12140541
2005,California,56.35673345
2006,California,60.00444854
2007,California,58.13687636
2008,California,60.5623952
2009,California,56.28674438
2010,California,54.11063234
2011,California,58.22405572
2012,California,57.13448806
2013,California,55.9286937
2014,California,56.23274194
2015,California,55.91848265
2016,California,55.07363933
2017,California,57.47238065
2018,California,57.0378191
2019,California,49.61968211
2000,Colorado,38.30242251
2001,Colorado,36.77988712
2002,Colorado,39.23749676
2003,Colorado,38.41672001
2004,Colorado,35.46342402
2005,Colorado,37.97619048
2006,Colorado,39.70151307
2007,Colorado,44.12777437
2008,Colorado,42.18449095
2009,Colorado,40.52880877
2010,Colorado,43.11347115
2011,Colorado,46.41019178
