"","State","Year"
"1","Alabama",2000
"2","Alaska",2000
"3","Arizona",2000
"4","Arkansas",2000
"5","California",2000
"6","Colorado",2000
"7","Connecticut",2000
"8","Delaware",2000
"9","District of Columbia",2000
"10","Florida",2000
"11","Georgia",2000
"12","Hawaii",2000
"13","Idaho",2000
"14","Illinois",2000
"15","Indiana",2000
"16","Iowa",2000
"17","Kansas",2000
"18","Kentucky",2000
"19","Louisiana",2000
"20","Maine",2000
"21","Maryland",2000
"22","Massachusetts",2000
"23","Michigan",2000
"24","Minnesota",2000
"25","Mississippi",2000
"26","Missouri",2000
"27","Montana",2000
"28","Nebraska",2000
"29","Nevada",2000
"30","New Hampshire",2000
"31","New Jersey",2000
"32","New Mexico",2000
"33","New York",2000
"34","North Carolina",2000
"35","North Dakota",2000
"36","Ohio",2000
"37","Oklahoma",2000
"38","Oregon",2000
"39","Pennsylvania",2000
"40","Rhode Island",2000
"41","South Carolina",2000
"42","South Dakota",2000
"43","Tennessee",2000
"44","Texas",2000
"45","Utah",2000
"46","Vermont",2000
"47","Virginia",2000
"48","Washington",2000
"49","West Virginia",2000
"50","Wisconsin",2000
"51","Wyoming",2000
"52","Alabama",2001
"53","Alaska",2001
"54","Arizona",2001
"55","Arkansas",2001
"56","California",2001
"57","Colorado",2001
"58","Connecticut",2001
"59","Delaware",2001
"60","District of Columbia",2001
"61","Florida",2001
"62","Georgia",2001
"63","Hawaii",2001
"64","Idaho",2001
"65","Illinois",2001
"66","Indiana",2001
"67","Iowa",2001
"68","Kansas",2001
"69","Kentucky",2001
"70","Louisiana",2001
"71","Maine",2001
"72","Maryland",2001
"73","Massachusetts",2001
"74","Michigan",2001
"75","Minnesota",2001
"76","Mississippi",2001
"77","Missouri",2001
"78","Montana",2001
"79","Nebraska",2001
"80","Nevada",2001
"81","New Hampshire",2001
"82","New Jersey",2001
"83","New Mexico",2001
"84","New York",2001
"85","North Carolina",2001
"86","North Dakota",2001
"87","Ohio",2001
"88","Oklahoma",2001
"89","Oregon",2001
"90","Pennsylvania",2001
"91","Rhode Island",2001
"92","South Carolina",2001
"93","South Dakota",2001
"94","Tennessee",2001
"95","Texas",2001
"96","Utah",2001
"97","Vermont",2001
"98","Virginia",2001
"99","Washington",2001
"100","West Virginia",2001
"101","Wisconsin",2001
"102","Wyoming",2001
"103","Alabama",2002
"104","Alaska",2002
"105","Arizona",2002
"106","Arkansas",2002
"107","California",2002
"108","Colorado",2002
"109","Connecticut",2002
"110","Delaware",2002
"111","District of Columbia",2002
"112","Florida",2002
"113","Georgia",2002
"114","Hawaii",2002
"115","Idaho",2002
"116","Illinois",2002
"117","Indiana",2002
"118","Iowa",2002
"119","Kansas",2002
"120","Kentucky",2002
"121","Louisiana",2002
"122","Maine",2002
"123","Maryland",2002
"124","Massachusetts",2002
"125","Michigan",2002
"126","Minnesota",2002
"127","Mississippi",2002
"128","Missouri",2002
"129","Montana",2002
"130","Nebraska",2002
"131","Nevada",2002
"132","New Hampshire",2002
"133","New Jersey",2002
"134","New Mexico",2002
"135","New York",2002
"136","North Carolina",2002
"137","North Dakota",2002
"138","Ohio",2002
"139","Oklahoma",2002
"140","Oregon",2002
"141","Pennsylvania",2002
"142","Rhode Island",2002
"143","South Carolina",2002
"144","South Dakota",2002
"145","Tennessee",2002
"146","Texas",2002
"147","Utah",2002
"148","Vermont",2002
"149","Virginia",2002
"150","Washington",2002
"151","West Virginia",2002
"152","Wisconsin",2002
"153","Wyoming",2002
"154","Alabama",2003
"155","Alaska",2003
"156","Arizona",2003
"157","Arkansas",2003
"158","California",2003
"159","Colorado",2003
"160","Connecticut",2003
"161","Delaware",2003
"162","District of Columbia",2003
"163","Florida",2003
"164","Georgia",2003
"165","Hawaii",2003
"166","Idaho",2003
"167","Illinois",2003
"168","Indiana",2003
"169","Iowa",2003
"170","Kansas",2003
"171","Kentucky",2003
"172","Louisiana",2003
"173","Maine",2003
"174","Maryland",2003
"175","Massachusetts",2003
